Iteracion,BT_ms,BST_ms,AVL_ms
1,900.069,13.518,14.081
2,908.935,12.781,20.058
3,892.181,13.127,19.638
4,886.398,11.857,20.058
5,978.185,11.89,21.084
6,1184.01,12.046,20.401
7,1763.7,12.645,21.236
8,1024.31,13.319,20.567
9,884.673,11.326,20.222
10,1124.31,12.572,19.63
