Iteracion,BT_ms,BST_ms,AVL_ms
1,89.92,1.025,1.003
2,96.359,1.296,1.655
3,96.901,0.648,1.81
4,99.707,0,2.03
5,179.023,1.329,1.034
6,200.711,1.131,0.981
7,210.8,1.001,0
8,118.24,0.744,2.025
9,96.077,0,1.018
10,104.323,0.481,0.646
