Iteracion,BT_ms,BST_ms,AVL_ms
1,98.448,0,0
2,100.047,0,0
3,101.366,0,0
4,101.465,0,0
5,120.634,0,0.058
6,139.942,0,0
7,350.183,0,0
8,111.834,0,0
9,105.077,0,0
10,235.42,0,0
